Subject,Acc (%),ITR (bits/min)
Subject1,85.33,148.57
Subject2,83.33,141.50
Subject3,94.17,183.74
Subject4,99.17,209.20
Subject5,100.00,214.99
Subject6,99.33,210.25
Subject7,96.33,193.88
Subject8,100.00,214.99
Subject9,99.33,210.25
Subject10,86.50,152.82
Mean±Std,94.35±6.71,188.02±29.63
